EA98,Alligator
EA99,Arctic Fox
EA100,Bald Eagle
EA101,Brear
EA102,Bison
EA103,Blue Morpho
EA104,Buffalo
EA105,Cactus
EA106,Caribou
EA107,Chinook
EA108,Cougar
EA109,Coyote Full
EA110,Crab
EA111,Deer
EA112,Desert Tortoise
EA113,Dolphin
EA114,Elk
EA115,Frog
EA116,Granny Orca
EA117,Grizzly bear
EA118,Hawk
EA119,Horse
EA120,Kokopelli
EA121,Lizard
EA122,Lynx
EA123,Macaw
EA124,Manatee
EA125,Moose
EA126,Octopus
EA127,Orca
EA128,Phoenix
EA129,Road Runner
EA130,Salmon
EA131,Sasquatch
EA132,Seaturtle
EA133,Shark
EA134,Skull
EA135,Stingray
EA136,Toucan
EA137,Turtle
EA138,Walrus
EA139,Whale
EA140,Howling Wolf
EA141,Wolf Standing
EA142,Dragonfly
EA143,Fox
EA144,Mountain Lion
EA145,Rooster
FOOD98,Orange
FOOD99,Peach
FOOD100,Hotdog
FOOD101,Pretzel
FOOD102,Hot Chicken
GRTO98,Appalachian Trail Badge
GRTO99,Arizona Trail Badge
GRTO100,Continental Divide Trail Badge
GRTO101,Florida Trail Badge
GRTO102,Ice Age Trail Badge
GRTO103,Natchez Trace Trail Badge
GRTO104,National Recreation Trail Badge
GRTO105,New England Trail Badge
GRTO106,North County Trail Badge
GRTO107,Pacific Crest Trail Badge
GRTO108,Pacific Northwest Trail Badge
GRTO109,Potomac Heritage Trail Badge
GRTO110,Tallahassee Trail Badge
GRTO111,Going to the Sun Road Badge
GRTO112,Home of the Big Foot Badge
GRTO113,Pacific Crest Trail System
GRTO114,Bigfoot Stay Wild
GRTO115,Bigfoot Dept Badge
GRTO116,Bigfoot Crossing Badge
GRTO117,Go Hike
GRTO118,Benchmark (Elevation)
GRTO119,Benchmark (Coordinates)
GRTO120,Mountain Sunrise
GRTO121,Blue Mountain
GRTO122,Evergreen
GRTO123,Palm
GRTO124,Cactus
GRTO125,Retro Mountain Badge
GRTO126,Retro Desert Badge
GRTO127,Retro Snowflake Badge
GRTO128,Retro Seagull Sunset Badge
GRTO129,Retro Surf Sunset Badge
GRTO130,Snowy Mountain Patch
GRTO131,Lake Mountain Patch
GRTO132,Lake With Canoe Patch
GRTO133,Mountain Biking Patch
GRTO134,Mountain Hiking Patch
GRTO135,Mountain Patch
GRTO136,Canoe Patch
GRTO137,Sunset Palm Patch
GRTO138,Nighttime Mountain Patch
GRTO139,Campfire Patch
GRTO140,Cabin Night Patch
GRTO141,Camping Tent Patch
GRTO142,River Forest Patch
GRTO143,Glacier Patch
GRTO144,Desert Flats Patch
GRTO145,Offroad Desert Patch
GRTO146,Get Lost
GRTO147,Carabiner
GRTO148,Lake With Canoe Patch
GRTO149,Arrowhead
GRTO150,Take a Hike
GRTO151,Bear Patch
GRTO152,Bison Patch
GRTO153,Blue Heron Patch
GRTO154,Eagle Patch
GRTO155,Cougar Patch
GRTO156,Elk Patch
GRTO157,Gator Patch
GRTO158,Moose Patch
GRTO159,Manattee Patch
GRTO160,Roadrunner Patch
GRTO161,Wolf Patch
GRTO165-AG,Bear Badge
GRTO166-AG,Caribou Badge
GRTO167-AG,Eagle Badge
GRTO168-AG,Moose Badge
GRTO169-AG,Salmon Badge
GRTO170-AG,White Tail Badge
GRTO171-AG,Wolf Badge
GRTO172-AG,Bears
GRTO170,Mauna Kea Benchmark
GRTO174-DP,Red River
GRTO172,Big Sky Country
GRTO173,Ski the Sky
GRTO177-DP,Sun Evergreen
GRTO178-DP,Trifecta Mountains
GRTO179-DP,Inlet
GRTO180-DP,Mount Red Layers
GRTO178,Mountain Rise
GRTO182-DP,Pie Moutain
GRTO183-DP,Color Mountain
GRTO181,Adventures
GRTO182,Life Eternal
GRTO183,Bison
HOME98,All I Care About
HOME99,Be The Change
HOME100,Be The Person Dog
HOME101,Beware of Dog Kisses
HOME102,Bless Your Heart
HOME103,Butter My Biscuit
HOME104,Cant Never Could
HOME105,Longitude Latitude 2
HOME106,Longitude Latitude 1
HOME107,Coffee Before Talkie
HOME108,Coffee Before Wine
HOME109,Life Too Short Coffee
HOME110,Sorry Plans With Dog
HOME111,Dogs Welcome
